City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Emerald,AU,2022-01-28 02:03:45,-23.5333,148.1667,86.34,45,97,15.61
266,Salalah,OM,2022-01-28 02:03:45,17.0151,54.0924,68.09,73,20,4.61
267,Petropavlovsk-Kamchatskiy,RU,2022-01-28 02:03:46,53.0452,158.6483,18.19,79,100,8.95
268,Faanui,PF,2022-01-28 02:03:46,-16.4833,-151.75,81.09,76,11,15.86
269,Rocha,UY,2022-01-28 02:01:27,-34.4833,-54.3333,65.53,55,100,4.34
270,Constitucion,CL,2022-01-28 02:03:47,-35.3333,-72.4167,59.5,92,39,4.29
271,Patti,IN,2022-01-28 02:03:47,31.2808,74.8572,42.75,60,0,3.8
272,Prado,BR,2022-01-28 02:03:48,-17.3411,-39.2208,76.01,90,2,7.61
273,Port Moresby,PG,2022-01-28 02:01:57,-9.4431,147.1797,86.14,60,100,5.44
274,Itapecerica,BR,2022-01-28 02:04:48,-20.4725,-45.1256,66.22,86,22,2.33
275,Cayenne,GF,2022-01-28 02:04:48,4.9333,-52.3333,73.44,94,0,1.14
276,Sincelejo,CO,2022-01-28 02:00:14,9.3047,-75.3978,75.58,80,18,6.33
277,Rakiv Lis,UA,2022-01-28 02:04:49,51.6217,24.9243,33.96,97,100,16.73
278,Guerrero Negro,MX,2022-01-28 02:04:39,27.9769,-114.0611,63.81,53,100,11.41
279,Dunedin,NZ,2022-01-28 02:04:49,-45.8742,170.5036,63.81,62,31,14.0
280,Altagracia De Orituco,VE,2022-01-28 02:04:50,9.8601,-66.3814,68.29,92,23,5.93
281,Nicoya,CR,2022-01-28 02:04:50,10.1483,-85.452,78.35,66,3,9.82
282,Muisne,EC,2022-01-28 02:04:50,0.6,-80.0333,74.25,89,90,2.26
283,Fort Nelson,CA,2022-01-28 02:00:34,58.8053,-122.7002,13.71,98,100,3.44
284,Chicama,PE,2022-01-28 02:03:10,-7.8447,-79.1469,66.74,80,100,6.02
285,Mpraeso,GH,2022-01-28 02:04:51,6.5932,-0.7346,68.58,87,33,2.17
286,Del Rio,US,2022-01-28 02:01:07,29.3627,-100.8968,57.42,68,100,8.12
287,Abu Dhabi,AE,2022-01-28 02:04:07,24.4667,54.3667,65.97,79,0,1.99
288,Mahebourg,MU,2022-01-28 02:04:51,-20.4081,57.7,73.26,69,2,8.55
289,Hami,CN,2022-01-28 02:04:52,42.8,93.45,22.75,44,3,3.47
290,Beringovskiy,RU,2022-01-28 02:04:52,63.05,179.3167,3.67,93,100,2.73
291,Jacqueville,CI,2022-01-28 02:04:52,5.2052,-4.4146,78.71,81,51,8.43
