City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Lavrentiya,RU,65.5833,-171.0,-5.22,91,5,3.78,clear sky
221,Aitape,PG,-3.1374,142.3475,76.64,89,100,6.64,light rain
222,Novyy Urengoy,RU,66.0833,76.6333,-8.52,100,97,6.42,overcast clouds
223,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,11.5,clear sky
224,Sangar,RU,63.9242,127.4739,-35.95,100,85,1.88,overcast clouds
225,Pampa,US,35.5362,-100.9599,59.14,19,0,8.05,clear sky
226,Dauriya,RU,49.9333,116.8667,-23.35,100,34,1.45,scattered clouds
227,Tabory,RU,58.5198,64.5495,5.58,99,100,1.01,overcast clouds
228,Tricase,IT,39.9304,18.3553,46.38,70,0,11.07,clear sky
229,Hamilton,US,39.1834,-84.5333,36.45,66,20,8.05,few clouds
230,Uporovo,RU,56.3109,66.2693,9.72,96,100,5.12,overcast clouds
231,Kuching,MY,1.55,110.3333,75.42,94,40,2.3,scattered clouds
232,Beloha,MG,-25.1667,45.05,72.68,75,91,15.9,overcast clouds
233,Havelock,US,34.8791,-76.9013,44.94,66,13,7.7,few clouds
234,Chokurdakh,RU,70.6333,147.9167,-29.85,94,16,2.64,few clouds
235,Vidim,RU,56.4088,103.1106,-2.9,100,100,2.06,overcast clouds
236,Kavieng,PG,-2.5744,150.7967,82.11,74,91,2.3,light rain
237,Whitehorse,CA,60.7161,-135.0538,7.81,70,99,8.99,overcast clouds
238,Mandalgovi,MN,45.7625,106.2708,-1.66,82,8,8.28,clear sky
239,Puerto Escondido,MX,15.85,-97.0667,85.03,65,20,5.75,few clouds
240,Grand-Santi,GF,4.25,-54.3833,72.97,93,100,3.44,overcast clouds
241,Bilma,NE,18.6853,12.9164,58.37,16,0,18.59,clear sky
242,Klyuchi,RU,52.2667,79.1667,14.22,94,100,6.82,overcast clouds
243,Sumkino,RU,58.1108,68.3244,1.71,97,100,4.03,overcast clouds
244,Jalu,LY,29.0331,21.5482,54.27,57,78,14.23,broken clouds
245,Santiago,CL,-33.4569,-70.6483,79.29,43,0,8.05,clear sky
246,Iacu,BR,-12.7672,-40.2117,75.83,76,79,3.27,broken clouds
247,Tiksi,RU,71.6872,128.8694,-18.49,100,96,3.87,overcast clouds
248,Delta Del Tigre,UY,-34.7633,-56.3853,82.89,51,3,1.99,clear sky
249,Christchurch,NZ,-43.5333,172.6333,72.91,59,22,5.01,few clouds
250,Agua Buena,PA,7.8167,-80.4,83.34,99,33,18.57,scattered clouds
251,Palauig,PH,15.435,119.9045,77.31,79,23,3.09,few clouds
252,Asau,RO,46.4333,26.4,40.39,64,99,16.69,overcast clouds
253,Richards Bay,ZA,-28.783,32.0377,71.17,87,98,5.68,overcast clouds
254,Deputatskiy,RU,69.3,139.9,-25.17,100,67,2.01,broken clouds
255,Cockburn Town,TC,21.4612,-71.1419,75.16,69,75,13.8,broken clouds
256,Escarcega,MX,18.6089,-90.7454,75.88,50,47,2.04,scattered clouds
257,Emerald,AU,-23.5333,148.1667,82.35,62,67,11.63,broken clouds
258,Igarka,RU,67.4667,86.5833,-4.43,97,99,10.85,overcast clouds
259,Middle Island,US,40.8843,-72.9373,24.69,60,20,0.0,few clouds
260,Tessalit,ML,20.1986,1.0114,68.5,15,24,10.11,few clouds
261,Nambour,AU,-26.6333,152.95,81.1,86,52,1.99,broken clouds
262,Bandundu,CD,-3.3167,17.3667,76.59,76,100,5.23,overcast clouds
263,Westport,US,41.1415,-73.3579,24.55,49,0,1.01,clear sky
264,Grindavik,IS,63.8424,-22.4338,25.27,93,75,37.98,light snow
265,Sibolga,ID,1.7427,98.7792,75.81,89,96,3.31,overcast clouds
266,Jember,ID,-8.166,113.7032,75.22,95,100,1.45,overcast clouds
267,Rocha,UY,-34.4833,-54.3333,69.35,75,0,11.05,clear sky
268,Balakhninskiy,RU,58.0106,114.2769,-29.13,100,97,2.48,overcast clouds
269,Merritt,CA,50.1123,-120.7942,31.03,95,100,3.47,overcast clouds
270,Abbeville,FR,50.1,1.8333,46.94,91,99,15.26,overcast clouds
271,Viedma,AR,-40.8135,-62.9967,63.18,45,53,20.2,broken clouds
272,Vardo,NO,70.3705,31.1107,25.0,62,98,12.95,overcast clouds
273,Puri,IN,19.8,85.85,57.72,63,0,5.41,clear sky
274,Sisimiut,GL,66.9395,-53.6735,2.41,81,100,18.75,overcast clouds
275,Mayo,US,38.8876,-76.5119,31.24,56,100,1.99,overcast clouds
276,Bonthe,SL,7.5264,-12.505,77.81,87,11,6.82,few clouds
277,Abonnema,NG,4.7084,6.7931,76.14,53,54,2.04,broken clouds
278,Camacha,PT,33.0833,-16.3333,61.56,82,20,17.27,few clouds
279,Altay,CN,47.8667,88.1167,3.74,54,40,7.25,scattered clouds
280,Lasa,IT,46.6166,10.7002,33.37,42,11,6.26,few clouds
281,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.55,90,21,7.16,few clouds
282,Tianpeng,CN,30.9866,103.9393,37.51,77,89,2.62,overcast clouds
283,Dhidhdhoo,MV,6.8833,73.1,81.16,74,25,8.19,scattered clouds
